,player_id,player_name,now_cost,position,team,gw1,gw2,gw3,gw4,gw5,gw6,gw7,gw8,gw9,gw10,gw11,gw12
46,47,Rogers,69,MID,Aston Villa,3.0,2.0,2.0,3.0,2.0,5.0,5.0,7.0,3.0,1.0,2.0,15
47,48,Tielemans,59,MID,Aston Villa,3.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2
48,49,Bailey,55,MID,Aston Villa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
49,50,Buendía,53,MID,Aston Villa,0.0,1.0,1.0,2.0,1.0,12.0,0.0,7.0,4.0,0.0,11.0,1
50,51,Iling Jr,55,MID,Aston Villa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
51,52,J.Ramsey,53,MID,Newcastle,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0
52,53,Malen,51,MID,Aston Villa,1.0,1.0,2.0,1.0,1.0,1.0,15.0,2.0,1.0,1.0,6.0,4
53,54,McGinn,54,MID,Aston Villa,3.0,2.0,2.0,3.0,2.0,6.0,3.0,2.0,3.0,1.0,3.0,1
54,55,Barkley,48,MID,Aston Villa,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,6.0,4
55,56,Barrenechea,50,MID,Aston Villa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
56,57,Dobbin,50,MID,Aston Villa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
57,58,Kamara,49,MID,Aston Villa,2.0,1.0,0.0,0.0,6.0,1.0,5.0,2.0,2.0,2.0,2.0,4
58,59,Onana,48,MID,Aston Villa,5.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,1.0,9.0,0
59,60,Broggio,45,MID,Aston Villa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
60,61,Dendoncker,45,MID,Aston Villa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
61,62,Jimoh-Aloba,45,MID,Aston Villa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
62,63,Young,44,MID,Aston Villa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
63,64,Watkins,85,FWD,Aston Villa,2.0,2.0,2.0,2.0,2.0,8.0,2.0,1.0,2.0,2.0,2.0,2
64,65,Redmond,45,FWD,Aston Villa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
65,66,Neto,45,GKP,Bournemouth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
66,67,Petrović,45,GKP,Bournemouth,2.0,6.0,5.0,2.0,6.0,3.0,3.0,2.0,8.0,2.0,1.0,1
67,68,Dennis,40,GKP,Bournemouth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
68,69,McKenna,40,GKP,Bournemouth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
69,70,Paulsen,40,GKP,Bournemouth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
70,71,Zabarnyi,50,DEF,Bournemouth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
71,72,Senesi,50,DEF,Bournemouth,2.0,9.0,14.0,3.0,9.0,7.0,2.0,2.0,5.0,3.0,2.0,3
72,73,Smith,44,DEF,Bournemouth,1.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
73,74,Truffert,45,DEF,Bournemouth,0.0,6.0,7.0,2.0,9.0,3.0,5.0,1.0,10.0,2.0,0.0,0
74,75,Akinmboni,39,DEF,Bournemouth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
75,76,Bevan,39,DEF,Bournemouth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
76,77,Hill,40,DEF,Bournemouth,1.0,1.0,5.0,2.0,1.0,0.0,6.0,1.0,0.0,0.0,0.0,0
77,78,J.Araujo,39,DEF,Bournemouth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
78,79,Mepham,40,DEF,Bournemouth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
79,80,Soler,40,DEF,Bournemouth,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
80,81,Kluivert,70,MID,Bournemouth,0.0,1.0,1.0,1.0,1.0,1.0,7.0,2.0,2.0,0.0,2.0,0
81,82,Semenyo,79,MID,Bournemouth,15.0,6.0,2.0,13.0,5.0,7.0,18.0,4.0,3.0,2.0,0.0,0
82,83,O.Dango,60,MID,Brentford,0.0,13.0,2.0,1.0,1.0,2.0,0.0,3.0,11.0,2.0,4.0,5
83,84,Tavernier,55,MID,Bournemouth,4.0,11.0,3.0,2.0,3.0,1.0,3.0,5.0,11.0,2.0,2.0,7
84,85,Adams,50,MID,Bournemouth,4.0,2.0,4.0,1.0,3.0,2.0,2.0,3.0,6.0,8.0,2.0,2
85,86,Brooks,50,MID,Bournemouth,4.0,3.0,4.0,1.0,3.0,1.0,2.0,0.0,0.0,2.0,1.0,1
86,87,Christie,50,MID,Bournemouth,0.0,1.0,1.0,0.0,1.0,4.0,1.0,5.0,1.0,1.0,1.0,1
87,88,Cook,49,MID,Bournemouth,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,4
88,89,Philip,49,MID,Bournemouth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
89,90,Scott,50,MID,Bournemouth,2.0,2.0,3.0,9.0,3.0,1.0,4.0,2.0,3.0,5.0,2.0,1
90,91,Sinisterra,50,MID,Bournemouth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
91,92,Faivre,45,MID,Bournemouth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
92,93,H.Traorè,45,MID,Bournemouth,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
93,94,Sadi,45,MID,Bournemouth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
94,95,Silcott-Duberry,44,MID,Bournemouth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
95,96,Winterburn,45,MID,Bournemouth,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
96,97,Evanilson,70,FWD,Bournemouth,1.0,2.0,8.0,5.0,2.0,2.0,2.0,0.0,0.0,1.0,2.0,5
97,98,Enes Ünal,54,FWD,Bournemouth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6
98,99,Adu-Adjei,44,FWD,Bournemouth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
99,100,Kroupi.Jr,46,FWD,Bournemouth,1.0,1.0,1.0,0.0,0.0,6.0,0.0,12.0,6.0,2.0,1.0,2
100,101,Kelleher,45,GKP,Brentford,1.0,5.0,1.0,2.0,1.0,8.0,3.0,6.0,2.0,1.0,2.0,2
101,102,Balcombe,40,GKP,Brentford,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
102,103,Cox,40,GKP,Brentford,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
103,104,Eyestone,39,GKP,Brentford,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
104,105,Valdimarsson,39,GKP,Brentford,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
105,106,Collins,49,DEF,Brentford,0.0,9.0,3.0,3.0,0.0,1.0,2.0,9.0,3.0,0.0,2.0,1
106,107,Lewis-Potter,48,DEF,Brentford,1.0,6.0,6.0,1.0,1.0,1.0,0.0,4.0,0.0,1.0,0.0,0
107,108,Ajer,44,DEF,Brentford,0.0,1.0,0.0,4.0,1.0,0.0,2.0,6.0,4.0,1.0,0.0,4
108,109,Henry,43,DEF,Brentford,1.0,1.0,-1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0
109,110,Kayode,45,DEF,Brentford,1.0,10.0,1.0,2.0,1.0,2.0,2.0,9.0,1.0,1.0,4.0,1
110,111,Pinnock,43,DEF,Brentford,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
111,112,Roerslev,45,DEF,Brentford,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
112,113,Van den Berg,45,DEF,Brentford,3.0,8.0,3.0,1.0,1.0,2.0,2.0,6.0,3.0,3.0,2.0,3
113,114,Arthur,39,DEF,Brentford,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
114,115,Fredrick,40,DEF,Brentford,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
115,116,Hickey,40,DEF,Brentford,0.0,1.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,1
116,117,Ji-soo,39,DEF,Brentford,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
117,118,Meghoma,40,DEF,Brentford,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
118,119,Mbeumo,86,MID,Man Utd,2.0,2.0,10.0,2.0,3.0,2.0,6.0,9.0,15.0,2.0,7.0,1
119,120,Schade,70,MID,Brentford,1.0,3.0,0.0,7.0,2.0,4.0,1.0,6.0,7.0,1.0,8.0,2
120,121,Damsgaard,58,MID,Brentford,0.0,5.0,2.0,0.0,8.0,2.0,2.0,3.0,7.0,2.0,2.0,2
121,122,Milambo,52,MID,Brentford,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
122,123,Carvalho,48,MID,Brentford,2.0,0.0,1.0,7.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0
123,124,Henderson,50,MID,Brentford,1.0,3.0,3.0,6.0,2.0,6.0,1.0,2.0,2.0,1.0,2.0,2
124,125,Janelt,49,MID,Brentford,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,0
125,126,Jensen,49,MID,Brentford,2.0,1.0,0.0,2.0,0.0,6.0,1.0,6.0,1.0,1.0,1.0,1
126,127,Nunes,49,MID,Brentford,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
127,128,Onyeka,49,MID,Brentford,4.0,1.0,4.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0
128,129,Yarmoliuk,50,MID,Brentford,2.0,5.0,2.0,3.0,2.0,7.0,2.0,3.0,1.0,2.0,4.0,2
129,130,Donovan,45,MID,Brentford,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
130,131,Konak,44,MID,Brentford,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
131,132,Maghoma,45,MID,Brentford,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
