,id,name,deadline_time,release_time,average_entry_score,finished,data_checked,highest_scoring_entry,deadline_time_epoch,deadline_time_game_offset,highest_score,is_previous,is_current,is_next,cup_leagues_created,h2h_ko_matches_created,can_enter,can_manage,released,ranked_count,overrides,chip_plays,most_selected,most_transferred_in,top_element,top_element_info,transfers_made,most_captained,most_vice_captained
0,1,Gameweek 1,2025-08-15 17:30:00,,54,True,True,3772644.0,1755279000,0,127.0,False,False,False,False,False,False,False,True,9469118,"{'rules': {}, 'scoring': {}, 'element_types': [], 'pick_multiplier': None}","[{'chip_name': 'bboost', 'num_played': 342779}, {'chip_name': '3xc', 'num_played': 272642}]",235.0,1.0,531.0,"{'id': 531, 'points': 17}",0,381.0,235.0
1,2,Gameweek 2,2025-08-22 17:30:00,,51,True,True,2963810.0,1755883800,0,140.0,False,False,False,True,True,False,False,True,10752422,"{'rules': {}, 'scoring': {}, 'element_types': [], 'pick_multiplier': None}","[{'chip_name': 'bboost', 'num_played': 206501}, {'chip_name': 'freehit', 'num_played': 159592}, {'chip_name': 'wildcard', 'num_played': 433085}, {'chip_name': '3xc', 'num_played': 267066}]",235.0,427.0,8.0,"{'id': 8, 'points': 24}",18178809,381.0,235.0
2,3,Gameweek 3,2025-08-30 10:00:00,,48,True,True,4374360.0,1756548000,0,118.0,False,False,False,True,True,False,False,True,11304791,"{'rules': {}, 'scoring': {}, 'element_types': [], 'pick_multiplier': None}","[{'chip_name': 'bboost', 'num_played': 181694}, {'chip_name': 'freehit', 'num_played': 392607}, {'chip_name': 'wildcard', 'num_played': 714353}, {'chip_name': '3xc', 'num_played': 327492}]",249.0,82.0,260.0,"{'id': 260, 'points': 15}",27802596,430.0,381.0
3,4,Gameweek 4,2025-09-13 10:00:00,,63,True,True,7997042.0,1757757600,0,139.0,False,False,False,True,True,False,False,True,11641518,"{'rules': {}, 'scoring': {}, 'element_types': [], 'pick_multiplier': None}","[{'chip_name': 'bboost', 'num_played': 151177}, {'chip_name': 'freehit', 'num_played': 245615}, {'chip_name': 'wildcard', 'num_played': 936058}, {'chip_name': '3xc', 'num_played': 265597}]",249.0,419.0,26.0,"{'id': 26, 'points': 16}",27408255,381.0,249.0
4,5,Gameweek 5,2025-09-20 10:00:00,,42,True,True,9985225.0,1758362400,0,112.0,False,False,False,True,True,False,False,True,11803614,"{'rules': {}, 'scoring': {}, 'element_types': [], 'pick_multiplier': None}","[{'chip_name': 'bboost', 'num_played': 231274}, {'chip_name': 'freehit', 'num_played': 140350}, {'chip_name': 'wildcard', 'num_played': 465965}, {'chip_name': '3xc', 'num_played': 121906}]",249.0,82.0,660.0,"{'id': 660, 'points': 15}",16533109,381.0,249.0
5,6,Gameweek 6,2025-09-27 10:00:00,,46,True,True,11887643.0,1758967200,0,124.0,True,False,False,True,True,False,False,True,11930431,"{'rules': {}, 'scoring': {}, 'element_types': [], 'pick_multiplier': None}","[{'chip_name': 'bboost', 'num_played': 157915}, {'chip_name': 'freehit', 'num_played': 178069}, {'chip_name': 'wildcard', 'num_played': 750713}, {'chip_name': '3xc', 'num_played': 812259}]",249.0,430.0,683.0,"{'id': 683, 'points': 17}",22147208,430.0,249.0
6,7,Gameweek 7,2025-10-03 17:30:00,,60,True,True,5563383.0,1759512600,0,135.0,False,True,False,True,True,False,False,True,12032746,"{'rules': {}, 'scoring': {}, 'element_types': [], 'pick_multiplier': None}","[{'chip_name': 'bboost', 'num_played': 170965}, {'chip_name': 'freehit', 'num_played': 130694}, {'chip_name': 'wildcard', 'num_played': 475622}, {'chip_name': '3xc', 'num_played': 187661}]",249.0,430.0,82.0,"{'id': 82, 'points': 18}",16350776,430.0,381.0
7,8,Gameweek 8,2025-10-18 10:00:00,,0,False,False,,1760781600,0,,False,False,True,True,True,True,True,True,0,"{'rules': {}, 'scoring': {}, 'element_types': [], 'pick_multiplier': None}",[],,,,,0,,
8,9,Gameweek 9,2025-10-24 17:30:00,,0,False,False,,1761327000,0,,False,False,False,False,False,False,False,True,0,"{'rules': {}, 'scoring': {}, 'element_types': [], 'pick_multiplier': None}",[],,,,,0,,
9,10,Gameweek 10,2025-11-01 13:30:00,,0,False,False,,1762003800,0,,False,False,False,False,False,False,False,True,0,"{'rules': {}, 'scoring': {}, 'element_types': [], 'pick_multiplier': None}",[],,,,,0,,
